latitude,longitude
12.83463,113.96757
12.885,114.005
9.706961667,110.8542917
20.3491,118.8283667
14.98068167,114.7778183
19.79102,119.9038083
15.25688333,120.01152
5.89282,114.2955667
12.034525,109.7554733
16.93537,118.8751383
22.53547333,119.8781467
7.986613333,108.606185
11.39117667,109.17668
14.17663833,118.8609867
6.941666667,114.5666667
12.21406833,113.436435
8.280983333,109.2209167
17.97439667,117.5613067
18.23362167,117.8092117
18.64673833,118.185805
11.03291333,111.85567
14.97295167,115.010825
15.08347,118.695235
17.98447667,110.8006017
10.65693667,111.3168367
12.34717833,112.7301883
10.32022167,111.0273
11.389075,111.96313
6.495,114.9916667
16.77624667,119.5346933
13.35689833,120.095815
16.14594167,119.37395
9.484398333,111.1099683
10.09891167,110.380665
10.681485,109.5629667
12.9818,115.5202167
10.14,111.68
8.163333333,108.7016667
21.97764333,119.745455
16.20984,119.5599717
8.957366667,109.4952167
17.83867167,117.1202433
8.438533333,108.6918333
13.82812,119.7601433
8.973163333,110.07417
11.858905,118.79733
8.355301667,109.8585617
8.140608333,109.144145
10.44766,111.5813767
8.033153333,108.94969
20.12305333,115.435035
14.61677833,119.5376367
6.043216667,114.0268083
22.09063333,119.6207
17.31508,118.9875517
11.335725,112.4268583
20.83877833,114.77852
7.090106667,108.7220333
9.182335,110.2905117
19.55488333,119.02115
11.86591167,109.3058267
11.70681833,113.065155
14.692275,115.4459067
15.92170833,116.5012433
10.52833333,110.1883333
19.04422833,118.713785
19.93380333,119.721785
12.18565333,113.6299633
17.20113667,113.6760967
8.059533333,108.6476333
19.21117333,118.5657367
14.43126667,115.1291
18.598335,118.875815
22.64382167,119.7374067
13.14141333,113.7276817
8.8261,109.1672833
15.62580167,119.4919667
18.57428333,119.5545
6.674741667,108.3841667
16.41379833,118.5230533
11.87095,111.3865667
22.47371667,119.9880333
6.294256667,112.35668
7.164676667,109.4020167
15.979555,119.4822783
8.90745,108.8132833
21.56166667,116.6533333
12.41549833,114.5241783
17.08745833,113.905185
14.89035167,114.7523633
20.25533,115.98244
6.675266667,108.3881583
20.46931333,116.1175283
8.54965,109.5488167
22.41914167,119.7727717
12.10333333,114.0616667
15.02190667,113.2022467
16.3495,113.1723333
14.52266333,119.6841417
15.91670667,119.4386033
18.78087167,114.9133933
8.1283,109.1536833
22.83584333,119.9984283
22.832615,119.996805
7.44264,108.6051617
9.68415,109.0304
15.75416667,113.0193333
16.82666667,112.335
22.709455,119.90517
6.67715,108.3874317
8.961265,108.811455
12.27233833,113.2227983
14.23213167,119.84897
18.36631167,119.9573083
10.15265,111.6590333
16.17428333,119.409865
6.739375,110.4141717
17.019605,113.3056
15.541865,119.9366933
10.34955167,111.96026
13.36776,113.2062083
17.075,110.8266667
4.776581667,113.7430217
21.49301833,119.7473283
6.572721667,108.5823717
22.43507,119.75192
12.72149167,109.4967983
