latitude,longitude,value
12.83463,113.96757,3
12.885,114.005,4
9.706961667,110.8542917,3
20.3491,118.8283667,1
14.98068167,114.7778183,1
19.79102,119.9038083,1
15.25688333,120.01152,3
5.89282,114.2955667,2
12.034525,109.7554733,3
16.93537,118.8751383,5
22.53547333,119.8781467,3
7.986613333,108.606185,2
11.39117667,109.17668,2
14.17663833,118.8609867,5
6.941666667,114.5666667,5
12.21406833,113.436435,1
8.280983333,109.2209167,4
17.97439667,117.5613067,3
18.23362167,117.8092117,3
18.64673833,118.185805,1
11.03291333,111.85567,3
14.97295167,115.010825,1
15.08347,118.695235,3
17.98447667,110.8006017,1
10.65693667,111.3168367,1
12.34717833,112.7301883,3
10.32022167,111.0273,5
11.389075,111.96313,4
6.495,114.9916667,2
16.77624667,119.5346933,1
13.35689833,120.095815,5
16.14594167,119.37395,3
9.484398333,111.1099683,1
10.09891167,110.380665,3
10.681485,109.5629667,2
12.9818,115.5202167,2
10.14,111.68,3
8.163333333,108.7016667,4
21.97764333,119.745455,3
16.20984,119.5599717,4
8.957366667,109.4952167,2
17.83867167,117.1202433,3
8.438533333,108.6918333,4
13.82812,119.7601433,1
8.973163333,110.07417,4
11.858905,118.79733,1
8.355301667,109.8585617,5
8.140608333,109.144145,2
10.44766,111.5813767,5
8.033153333,108.94969,4
20.12305333,115.435035,5
14.61677833,119.5376367,2
6.043216667,114.0268083,3
22.09063333,119.6207,1
17.31508,118.9875517,1
11.335725,112.4268583,5
20.83877833,114.77852,1
7.090106667,108.7220333,4
9.182335,110.2905117,4
19.55488333,119.02115,4
11.86591167,109.3058267,5
11.70681833,113.065155,1
14.692275,115.4459067,1
15.92170833,116.5012433,5
10.52833333,110.1883333,2
19.04422833,118.713785,5
19.93380333,119.721785,3
12.18565333,113.6299633,3
17.20113667,113.6760967,1
8.059533333,108.6476333,5
19.21117333,118.5657367,1
14.43126667,115.1291,1
18.598335,118.875815,5
22.64382167,119.7374067,2
13.14141333,113.7276817,4
8.8261,109.1672833,5
15.62580167,119.4919667,1
18.57428333,119.5545,3
6.674741667,108.3841667,3
16.41379833,118.5230533,3
11.87095,111.3865667,5
22.47371667,119.9880333,4
6.294256667,112.35668,4
7.164676667,109.4020167,3
15.979555,119.4822783,2
8.90745,108.8132833,3
21.56166667,116.6533333,1
12.41549833,114.5241783,2
17.08745833,113.905185,5
14.89035167,114.7523633,4
20.25533,115.98244,2
6.675266667,108.3881583,1
20.46931333,116.1175283,2
8.54965,109.5488167,5
22.41914167,119.7727717,2
12.10333333,114.0616667,1
15.02190667,113.2022467,2
16.3495,113.1723333,3
14.52266333,119.6841417,3
15.91670667,119.4386033,2
18.78087167,114.9133933,5
8.1283,109.1536833,4
22.83584333,119.9984283,2
22.832615,119.996805,1
7.44264,108.6051617,1
9.68415,109.0304,1
15.75416667,113.0193333,4
16.82666667,112.335,4
22.709455,119.90517,4
6.67715,108.3874317,3
8.961265,108.811455,4
12.27233833,113.2227983,1
14.23213167,119.84897,5
18.36631167,119.9573083,4
10.15265,111.6590333,5
16.17428333,119.409865,5
6.739375,110.4141717,1
17.019605,113.3056,2
15.541865,119.9366933,5
10.34955167,111.96026,2
13.36776,113.2062083,4
17.075,110.8266667,3
4.776581667,113.7430217,4
21.49301833,119.7473283,4
6.572721667,108.5823717,1
22.43507,119.75192,2
12.72149167,109.4967983,4
14.50297833,112.3121767,5
8.32856,110.339875,3
8.634383333,109.52245,2
17.97143,113.505485,2
14.98972167,115.9730483,1
6.439688333,114.1617983,2
13.255285,115.138665,4
16.27786167,118.1610817,1
12.32333333,114.2933333,3
15.03733333,119.6210667,2
11.32472833,110.86373,4
15.25906833,116.2307733,4
14.10666667,117.4233333,5
9.486938333,110.716205,5
8.687025,108.6488183,2
8.465653333,110.192305,5
11.770195,113.019905,1
12.13782833,113.3706,4
9.493896667,110.715715,1
19.08736833,118.6996933,2
12.902965,113.1363917,4
15.25688,120.0115633,3
15.256875,120.0115267,5
5.886195,114.31603,2
19.99100667,115.6847683,4
15.23067167,119.4547683,2
17.38834333,118.71063,2
15.54647,116.2573833,2
9.819476667,109.2966733,1
22.507905,119.8232417,4
13.67463167,119.332715,5
21.81629167,119.48142,4
12.39833333,113.5483333,4
8.430746667,110.419355,1
13.850555,110.26733,4
10.00029833,110.8053583,3
17.41881333,114.8059633,2
18.74223833,118.268515,5
19.30276,118.7961517,1
13.18779333,112.95442,2
12.04055167,112.101035,1
9.3503,111.4248,5
15.26665333,115.2583333,4
12.516835,109.2573683,2
19.73315167,119.88296,4
16.24166667,109.9966667,1
12.8006,113.1258517,4
10.636495,112.1284367,3
19.13371667,116.3859833,2
13.03666667,112.4866667,2
14.86460667,119.1220233,5
16.1952,119.3857217,2
16.86329167,116.4825167,5
13.66433667,111.5789667,3
12.507185,110.7346267,4
10.913245,111.07785,5
5.330876667,113.8889333,3
4.843333333,113.125,2
8.924316667,110.1025667,3
9.878333333,111.455,1
8.197766667,109.7642333,1
15.96628333,119.5348617,2
6.333686667,114.4188283,1
11.45465833,109.9038383,1
12.51777833,109.2586233,5
14.69826667,120.0762667,4
7.81,108.8616667,1
7.9767,109.0042217,2
15.44741167,116.02461,4
15.44351333,119.53518,5
8.032915,108.9487633,2
13.08087833,109.4612567,4
7.767355,108.825755,4
22.07571667,119.6156167,5
22.70871667,119.8007167,3
12.51770667,109.2582017,5
10.20941667,111.7312417,4
21.44848333,119.2815333,5
13.829925,119.738235,2
19.81978333,119.6996633,3
16.93343667,119.0717583,4
18.61769,118.8961467,3
13.43168167,114.000985,5
12.74776333,109.5012,1
8.46855,108.9389667,2
12.12038333,109.3955167,4
15.2404,113.1075167,1
14.537885,119.55342,3
19.75002167,119.6186567,2
6.675083333,108.3877917,5
12.48648833,109.7234633,5
19.12542,118.923445,4
17.93440833,111.3579717,2
20.208995,120.0022617,3
17.19666667,116.8966667,4
17.653905,117.4174633,4
9.469906667,111.0181717,4
12.27044333,114.0092083,3
16.37560667,118.4002767,5
13.78409167,109.2409067,5
18.27505,119.2546,3
6.674595,108.3850783,1
20.276225,114.9326233,3
15.4847,118.81152,3
10.50188833,112.7481733,1
7.07351,108.9735167,1
19.58,118.8183333,1
16.89594833,117.00605,1
7.166475,109.43923,2
21.68348333,117.0927333,4
20.27031,114.9268783,4
22.68999667,119.756995,2
20.69089,116.2337667,4
21.73839833,119.0722033,1
20.266195,115.3861083,5
9.89385,110.9879333,4
22.74133667,119.8841467,2
12.30108333,111.6027667,2
7.75215,108.8719,3
13.35833333,120.1016667,4
12.664765,113.7506267,5
22.77566,119.9615517,4
11.89908167,113.20095,5
22.44725167,119.9307883,5
14.84322333,115.474085,2
14.24982333,112.3920033,4
20.26193333,114.3383017,1
8.83655,108.72685,1
9.586666667,110.2183333,5
10.55399667,111.7527867,4
20.09644833,113.9588583,3
16.124725,113.4313467,5
15.45057833,119.7135067,4
13.24883833,120.0733767,1
22.19403333,118.76515,4
11.38051167,111.30852,3
22.48691833,119.9227867,2
22.48028333,119.90713,1
14.25284667,112.3252667,2
19.28580667,119.3231733,4
15.96868333,119.4919667,5
15.11907833,116.09769,3
17.23666667,114.7416667,3
4.846966667,113.7524667,1
9.418998333,109.154915,4
16.87114667,119.5302217,5
15.78725,119.5146,2
20.02435,113.659265,3
9.73627,109.2467733,5
15.67833333,112.5983333,3
8.356636667,108.713525,3
15.62086667,119.5361167,5
11.395,115.0333333,3
13.706555,114.8133217,2
9.426913333,111.00404,3
11.980535,113.2212917,1
14.72510833,119.88248,3
15.25687,120.0115367,3
16.625,115.65,3
13.00159833,109.74005,2
12.93963667,109.73995,1
7.540488333,108.64985,2
22.52931833,119.805795,5
22.53015667,119.867585,4
13.97333333,112.0133333,5
20.82373333,114.57752,1
12.86704667,109.4075267,3
12.405,113.5533333,4
8.300383333,109.5859667,3
8.274516667,109.0764167,2
19.673085,119.1377583,3
19.71946,119.17873,4
20.03874,119.4815,1
20.297435,119.7168283,2
14.23821667,113.77584,2
15.600215,114.8047933,3
10.064625,111.8258833,2
14.96106167,115.0004,4
6.766666667,109.5916667,5
6.885,109.81,4
12.96279833,113.27337,4
9.570723333,110.387565,4
14.87638667,119.1261217,4
15.93951667,119.3828883,2
8.75246,110.6428317,3
9.586128333,111.3858317,5
